LabNumber	SiteProvince	DistrictName	EpiWeek	SampleCollectionDate	Sequence_ID	SiteName	Lineages	Abundances
COV-24-0689	Gauteng	Ekurhuleni MM	15.0	2024-04-09	COV-24-0689	ERWAT Vlakplaat Wastewater Treatment Works	BA.2.86.X JN.1.X XBB.X BA.5.X XBB.1.5.X Delta Recombinants Other	[0.26525983000000003, 0.7346580800000002, 1.37e-06, 9.100000000000001e-07, 4.3e-07, 2.2e-07, 8.162e-05, 3.26e-06]
COV-24-0261	Gauteng	Johannesburg MM	7.0	2024-02-12	COV-24-0261	Goudkoppies Wastewater Treatment Works	BA.2.86.X JN.1.X KP.1.X XBB.X BA.2.X BA.5.X Other	[0.7140705, 0.18446329, 0.10144211, 2.339e-05, 5.3e-07, 3.7999999999999996e-07, 9.8e-07]
COV-24-1057	KwaZulu-Natal	Umkhanyakude DM	21.0	2024-05-22	COV-24-1057	Manguzi Wastewater Treatment Plant	JN.1.X BA.2.86.X Recombinants	[0.9997688299999999, 0.000181, 5.016e-05]
COV-22-287	Free State	Mangaung MM	41.0	2022-10-11	COV-22-287	Bloemspruit Wastewater Treatment Works	BA.5.X	[1.0]
COV-23-85	KwaZulu-Natal	Ethekwini MM	14.0	2023-04-03	COV-23-85	Northern Wastewater Treatment Works (KZN)	XBB.1.5.X XBB.X BA.2.X Other	[0.9973450199999998, 0.002559949999999999, 1.3e-05, 8.201000000000001e-05]
COV-23-10	Gauteng	Ekurhuleni MM	3.0	2023-01-17	COV-23-10	Hartebeesfontein Waterworks	BA.5.X BA.4.X BA.2.X Other	[0.76137194, 0.13115096, 0.10747691000000001, 6.2e-07]
COV-23-1148	Gauteng	Tshwane MM	45.0	2023-11-10	COV-23-1148	Vergenoeg	BA.2.86.X BA.2.X BA.4.X XBB.1.5.X BA.5.X KP.1.X XBB.X JN.1.X Delta Other	[0.9334759100000001, 0.06613732, 0.00013535, 9.1e-07, 1.23e-06, 2.7e-07, 6.7e-07, 5.2e-07, 4e-07, 0.00050692]
COV-24-0107	Gauteng	Ekurhuleni MM	4.0	2024-01-23	COV-24-0107	Hartebeesfontein Waterworks	BA.2.86.X JN.1.X	[0.493333, 0.506667]
COV-23-1078	Gauteng	Ekurhuleni MM	44.0	2023-10-30	COV-23-1078	Olifantsfontein	BA.2.86.X XBB.X	[0.73684198, 0.26315778]
COV-24-1030	Free State	Mangaung MM	21.0	2024-05-21	COV-24-1030	Bloemspruit Wastewater Treatment Works	JN.1.X BA.2.86.X XBB.X BA.5.X Recombinants Other	[0.84117364, 0.15814682, 1.05e-06, 7.099999999999999e-07, 0.0006781499999999999, 4.42e-06]
COV-24-1029	Free State	Mangaung MM	21.0	2024-05-21	COV-24-1029	Sterkwater Wastewater Treatment Works	BA.2.86.X LB.1.3.X JN.1.X KP.3.X KP.1.X XBB.1.5.X BA.5.X Other	[0.32700484, 0.27739486999999996, 0.24139902000000002, 0.10185887000000002, 0.0523415, 4.2e-07, 3.8999999999999997e-07, 1.24e-06]
COV-22-138	Gauteng	Tshwane MM	17.0	2022-04-26	COV-22-138	Daspoort Wastewater Treatment Works	BA.4.X BA.5.X BA.2.X Other Recombinants	[0.99972276, 0.000145, 3.023e-05, 7.033e-05, 3.168e-05]
COV-23-1038	Gauteng	Ekurhuleni MM	43.0	2023-10-23	COV-23-1038	Namane Drive	BA.2.86.X	[0.99999997]
COV-24-0336	Western Cape	Cape Town MM	8.0	2024-02-20	COV-24-0336	Borcherds Quarry Wastewater Treatment Works	JN.1.X BA.2.86.X LB.1.3.X XBB.1.5.X Other	[0.79484976, 0.20506594999999997, 8.375e-05, 2.8e-07, 8.2e-07]
COV-22-171	Gauteng	Ekurhuleni MM	22.0	2022-05-31	COV-22-171	Hartebeesfontein Waterworks	BA.4.X BA.5.X Delta Other	[0.9998397600000001, 9.422000000000002e-05, 3.597e-05, 3.0070000000000002e-05]
NIC-22-0391	Gauteng	Tshwane MM	21.0	2022-05-24	NIC-22-0391	Rooiwal Wastewater Treatment Works	BA.4.X BA.5.X BA.2.X XBB.X Recombinants Other	[0.5410790400000001, 0.45848289000000003, 9.413000000000001e-05, 1.2379999999999998e-05, 0.00020477, 0.00025414]
COV-24-0978	Gauteng	Ekurhuleni MM	20.0	2024-05-16	COV-24-0978	Tembisa Mall	KP.3.X KP.1.X JN.1.X Recombinants Other	[0.99034097, 0.008446980000000002, 0.0009300100000000001, 0.00011799, 0.00016405000000000003]
