,Other,Recombinants,Delta,BA.1.X,BA.2.X,BA.2.12.X,BA.4.X,BA.5.X,XBB.X,XBB.1.5.X,BA.2.86.X,JN.1.X,KP.1.X,KP.3.X,LB.1.3.X,LB.1.3.4.X,XEC.X,LP.8.1.X,XFG.X,NB.1.8.1.X,BA.3.2.X
2022-03-19,0.012046132380952328,0.03667430476190476,0.04764331380952382,0.0074458128571428545,0.5838398204761904,2.8988095238095233e-05,0.2257117242857143,0.0865910842857143,7.4304761904761906e-06,7.294761904761904e-06,9.5e-07,1.42e-06,0.0,1.7238095238095232e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-20,0.012046132380952328,0.03667430476190476,0.04764331380952382,0.0074458128571428545,0.5838398204761904,2.8988095238095233e-05,0.2257117242857143,0.0865910842857143,7.4304761904761906e-06,7.294761904761904e-06,9.5e-07,1.42e-06,0.0,1.7238095238095232e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.012046132380952328,0.03667430476190476,0.04764331380952382,0.0074458128571428545,0.5838398204761904,2.8988095238095233e-05,0.2257117242857143,0.0865910842857143,7.4304761904761906e-06,7.294761904761904e-06,9.5e-07,1.42e-06,0.0,1.7238095238095232e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-22,0.01149909272727269,0.03502662227272727,0.04547770863636365,0.007111203636363634,0.5284588836363636,2.767045454545454e-05,0.26637422590909093,0.10600810136363638,7.092727272727273e-06,5.490909090909091e-06,9.068181818181819e-07,1.3554545454545454e-06,0.0,1.6454545454545447e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23,0.011462445909090851,0.04929045545454545,0.04547243454545455,0.025255508636363628,0.47846607454545453,2.3372272727272717e-05,0.2615350377272727,0.12848204409090908,3.197272727272727e-06,5.506363636363636e-06,9.068181818181817e-07,1.3554545454545451e-06,1.545454545454545e-08,1.6454545454545445e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24,0.010973426521739072,0.04726191826086956,0.043495372173913055,0.024157443043478256,0.45767296,2.53395652173913e-05,0.28794355043478265,0.12845791217391306,3.0582608695652177e-06,5.26695652173913e-06,8.673913043478261e-07,1.2965217391304348e-06,1.4782608695652173e-08,1.5739130434782603e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-25,0.010973426521739072,0.04726191826086956,0.043495372173913055,0.024157443043478256,0.45767296,2.5339565217391305e-05,0.28794355043478265,0.12845791217391306,3.0582608695652177e-06,5.26695652173913e-06,8.673913043478261e-07,1.2965217391304348e-06,1.4782608695652173e-08,1.5739130434782603e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-26,0.010973426521739072,0.04726191826086956,0.043495372173913055,0.024157443043478256,0.45767296,2.5339565217391305e-05,0.28794355043478265,0.12845791217391306,3.0582608695652177e-06,5.26695652173913e-06,8.673913043478261e-07,1.2965217391304348e-06,1.4782608695652173e-08,1.5739130434782603e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-27,0.010973426521739072,0.04726191826086956,0.043495372173913055,0.024157443043478256,0.45767296,2.5339565217391305e-05,0.28794355043478265,0.12845791217391306,3.0582608695652177e-06,5.26695652173913e-06,8.673913043478261e-07,1.2965217391304348e-06,1.4782608695652173e-08,1.5739130434782603e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-28,0.010973426521739072,0.04726191826086956,0.043495372173913055,0.024157443043478256,0.45767296,2.5339565217391305e-05,0.28794355043478265,0.12845791217391306,3.0582608695652177e-06,5.26695652173913e-06,8.673913043478261e-07,1.2965217391304348e-06,1.4782608695652173e-08,1.5739130434782603e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-29,0.0017234104166665828,0.050050563750000006,0.00962620666666667,0.016635796666666668,0.42114131250000014,3.0116666666666673e-05,0.34135258125000006,0.15942062916666672,7.4562500000000025e-06,3.920416666666667e-06,8.312500000000001e-07,3.9087500000000005e-06,1.4166666666666668e-08,3.252083333333333e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-30,0.009351438399999938,0.04365898720000001,0.010933839200000003,0.03949235040000001,0.3407533108000001,2.40604e-05,0.3780191504,0.17774424040000003,7.878800000000002e-06,4.822800000000001e-06,7.980000000000001e-07,4.7272e-06,1.2740000000000002e-06,3.122e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,0.009351438399999938,0.04365898720000001,0.010933839200000003,0.03949235040000001,0.34075331080000004,2.40604e-05,0.3780191504,0.17774424040000003,7.878800000000002e-06,4.822800000000001e-06,7.980000000000001e-07,4.7272e-06,1.2740000000000002e-06,3.122e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.009351438399999938,0.04365898720000001,0.010933839200000003,0.03949235040000001,0.34075331080000004,2.40604e-05,0.3780191504,0.17774424040000003,7.878800000000002e-06,4.822800000000001e-06,7.980000000000001e-07,4.7272e-06,1.2740000000000002e-06,3.122e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-02,0.009351438399999938,0.04365898720000001,0.010933839200000003,0.03949235040000001,0.34075331080000004,2.40604e-05,0.3780191504,0.17774424040000003,7.878800000000002e-06,4.822800000000001e-06,7.980000000000001e-07,4.7272e-06,1.2740000000000002e-06,3.122e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-03,0.009351438399999938,0.04365898720000001,0.010933839200000003,0.03949235040000001,0.34075331080000004,2.40604e-05,0.3780191504,0.17774424040000003,7.878800000000002e-06,4.822800000000001e-06,7.980000000000001e-07,4.7272e-06,1.2740000000000002e-06,3.122e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-04,0.009351438399999938,0.04365898720000001,0.010933839200000003,0.03949235040000001,0.34075331080000004,2.40604e-05,0.3780191504,0.17774424040000003,7.878800000000002e-06,4.822800000000001e-06,7.980000000000001e-07,4.7272e-06,1.2740000000000002e-06,3.122e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-05,0.009351438399999938,0.04365898720000001,0.010933839200000003,0.03949235040000001,0.34075331080000004,2.40604e-05,0.3780191504,0.17774424040000003,7.878800000000002e-06,4.822800000000001e-06,7.980000000000001e-07,4.7272e-06,1.2740000000000002e-06,3.122e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-06,0.009517814666666662,0.032197392000000005,0.018246938666666667,0.09195916166666665,0.20830264533333331,1.5149666666666667e-05,0.46283446100000003,0.1769110386666667,5.977333333333334e-06,4.019e-06,0.0,2.9453333333333334e-06,1.0616666666666667e-06,1.3949999999999996e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-07,0.009213699999999998,0.03251134483870968,0.017658327741935487,0.08899273709677419,0.20183342870967744,1.4660967741935485e-05,0.46848754225806455,0.18127335677419357,5.784516129032259e-06,3.889354838709678e-06,0.0,2.8503225806451615e-06,1.0274193548387098e-06,1.3499999999999998e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-08,0.009213699999999998,0.03251134483870968,0.017658327741935487,0.08899273709677419,0.20183342870967744,1.4660967741935485e-05,0.46848754225806455,0.18127335677419357,5.784516129032259e-06,3.889354838709678e-06,0.0,2.8503225806451615e-06,1.0274193548387098e-06,1.3499999999999998e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-09,0.009213699999999998,0.03251134483870968,0.017658327741935487,0.08899273709677419,0.20183342870967744,1.4660967741935485e-05,0.46848754225806455,0.18127335677419357,5.784516129032259e-06,3.889354838709678e-06,0.0,2.8503225806451615e-06,1.0274193548387098e-06,1.3499999999999998e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-10,0.009213699999999998,0.03251134483870968,0.017658327741935487,0.08899273709677419,0.20183342870967744,1.4660967741935485e-05,0.46848754225806455,0.18127335677419357,5.784516129032259e-06,3.889354838709678e-06,0.0,2.8503225806451615e-06,1.0274193548387098e-06,1.3499999999999998e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
